iter	Passed	Remaining
802	1464	359
803	1466	357
804	1467	355
805	1469	353
806	1472	352
807	1474	350
808	1476	348
809	1478	346
810	1480	345
811	1482	343
812	1485	341
813	1488	340
814	1490	338
815	1492	336
816	1494	334
817	1495	332
818	1497	330
819	1498	328
820	1504	327
821	1506	326
822	1508	324
823	1509	322
824	1511	320
825	1512	318
826	1514	316
827	1517	315
828	1519	313
829	1520	311
830	1522	309
831	1526	308
832	1529	306
833	1532	305
834	1534	303
835	1535	301
836	1537	299
837	1538	297
838	1540	295
839	1541	293
840	1543	291
841	1545	289
842	1547	288
843	1549	286
844	1551	284
845	1553	282
846	1554	280
847	1556	278
848	1558	277
849	1560	275
850	1562	273
851	1564	271
852	1565	269
853	1568	268
854	1570	266
855	1571	264
856	1573	262
857	1575	260
858	1577	258
859	1578	257
860	1580	255
861	1582	253
862	1583	251
863	1585	249
864	1586	247
865	1589	245
866	1590	244
867	1592	242
868	1593	240
869	1595	238
870	1597	236
871	1598	234
872	1599	232
873	1601	230
874	1604	229
875	1605	227
876	1607	225
877	1608	223
878	1609	221
879	1611	219
880	1612	217
881	1614	215
882	1616	214
883	1619	212
884	1621	210
885	1622	208
886	1624	207
887	1626	205
888	1628	203
889	1629	201
890	1631	199
891	1633	197
892	1634	195
893	1636	193
894	1637	192
895	1639	190
896	1641	188
897	1642	186
898	1644	184
899	1646	182
900	1647	181
901	1649	179
902	1650	177
903	1652	175
904	1654	173
905	1655	171
906	1658	170
907	1661	168
908	1662	166
909	1664	164
910	1665	162
911	1667	160
912	1668	159
913	1670	157
914	1672	155
915	1673	153
916	1675	151
917	1677	149
918	1679	148
919	1681	146
920	1682	144
921	1684	142
922	1685	140
923	1687	138
924	1688	136
925	1690	135
926	1692	133
927	1694	131
928	1696	129
929	1697	127
930	1699	125
931	1701	124
932	1703	122
933	1705	120
934	1707	118
935	1708	116
936	1709	114
937	1711	113
938	1714	111
939	1716	109
940	1718	107
941	1720	105
942	1721	104
943	1723	102
944	1724	100
945	1726	98
946	1727	96
947	1730	94
948	1733	93
949	1751	92
950	1753	90
951	1754	88
952	1756	86
953	1757	84
954	1759	82
955	1763	81
956	1765	79
957	1766	77
958	1768	75
959	1769	73
960	1771	71
961	1772	70
962	1773	68
963	1775	66
964	1777	64
965	1779	62
966	1781	60
967	1783	58
968	1784	57
969	1786	55
970	1787	53
971	1788	51
972	1791	49
973	1792	47
974	1795	46
975	1797	44
976	1798	42
977	1800	40
978	1801	38
979	1804	36
980	1806	34
981	1807	33
982	1809	31
983	1810	29
984	1811	27
985	1813	25
986	1814	23
987	1815	22
988	1819	20
989	1821	18
990	1823	16
991	1824	14
992	1826	12
993	1828	11
994	1829	9
995	1831	7
996	1832	5
997	1834	3
998	1836	1
999	1838	0
